MES	ID	SCORE_SISTEMA	CTDMESPASIVOULT12MES	INGRESO	CLASIFRIESGO_6	ESTADOCIVIL	TIPO	DEPARTAMENTO	NUMEROHIJOS	INCUMPLIMIENTOEN12	DELTA_BANCOS
201510	24454937	353.91155826	12	4209.43	0	SOL	1	14	-	0	3
201510	24454959	389.56063621	12	3893.85	0	CAS	1	24	0	1	3
201510	24455020	298.26391692	12	3158.72	1	SOL	1	30	0	0	3
201510	24455566	303.21227953	12	3917.73	0	SOL	1	08	0	0	3
201510	24455626	340.06989093	12	4603.83	0	CAS	1	30	2	0	3
201510	24455666	409.91324336	12	3416.41	0	SOL	1	30	2	0	3
201510	24456381	412.19781174	12	4209.53	0	SOL	1	30	0	0	3
201510	24456402	330.4949852	12	3874.14	0	SOL	1	30	0	0	3
201510	24456442	389.68244716	12	3614.4	0	CAS	1	30	2	0	3
201510	24456712	369.03884957	12	4233.39	0	CAS	1	24	0	0	3
201510	24456777	249.52377452	12	4543.27	0	CAS	1	30	3	0	3
201510	24456897	325.51731224	12	3017.86	0	SOL	1	30	0	0	3
201510	24457531	368.43918193	12	4008.5	0	CON	1	30	2	0	3
201510	24457658	418.33387259	12	3493.01	0	SOL	1	30	0	0	3
201510	24457829	275.30142255	12	4412.67	1	SOL	1	04	0	0	3
201510	24457920	421.44725798	12	3836.66	0	SOL	1	40	5	0	3
201510	24457983	305.45726337	12	4145.27	0	SEP	1	30	2	0	3
201510	24458374	391.18765645	12	4465.29	0	SOL	1	30	0	0	3
201510	24458446	375.58460983	12	3638.52	0	SOL	1	40	2	0	3
201510	24458571	320.67427533	12	3098.64	0	CAS	1	08	2	0	3
201510	24458830	384.74553644	12	4210.74	0	SOL	1	30	0	0	3
201510	24459016	401.86112895	9	4691.99	0	CAS	1	26		0	3
201510	24459499	297.6420611	12	4748.75	0	SOL	1	30	-	0	3
201510	24459595	275.97668188	12	4432.55	0	SOL	1	30	1	0	3
201510	24459696	443.36710509	12	3075	0	CAS	1	14	2	0	3
201510	24459843	412.21121011	12	3566.25	0	CAS	1	24	1	0	3
201510	24460304	389.87323453	12	4848.03	0	CAS	1	30	2	0	3
201510	24460381	289.10749864	12	4760.61	0	CAS	1	40	1	0	3
201510	24460520	224.38616455	7	3406.9	2	SOL	1	10	1	1	3
201510	24461133		9	3556.36	0	CAS	1	10	0	0	3
201510	24461288	326.00903986	12	3817.95	0	CAS	1	22	0	0	3
201510	24461625	362.46805972	12	4949.97	0	SOL	1	36	0	0	3
201510	24461900	405.67016997	12	3500.01	0	SOL	1	08	0	0	3
201510	24462170	324.17113154	12	4000.77	0	CAS	1	22	2	0	3
201510	24462374	401.89751683	12	3309.15	0	SOL	1	30	2	0	3
201510	24462682	288.53261263	12	3447.96	0	SOL	1	36	2	0	3
201510	24462987		12	3317.14	0	SOL	1	42	1	0	3
201510	24463155	408.50883033	12	3592.9	0	SOL	1	40	0	0	3
201510	24463385		10	3139.46	0	SOL	1	16	-	0	3
201510	24463544	413.65361593	12	3652.64	0	SOL	1	30	0	0	3
201510	24463723	439.23210963	12	4044.53	0	SOL	1	26	1	0	3
201510	24464133	339.49148777	12	3592.36	0	SOL	1	16	-	0	3
201510	24464239	341.05678212	12	4836.51	0	SOL	1	22	1	0	3
201510	24464257	355.14696191	12	3063.34	0	CAS	1	36	2	0	3
201510	24464319	178.88754888	12	4358.29	1	SOL	1	30	0	0	3
201510	24464425	483.4523083	12	3718.02	0	SOL	1	30	0	0	3
201510	24464452	313.85651867	12	4217.69	0	SOL	1	40	3	0	3
201510	24465962		12	3499.99	0	SOL	1	42	0	0	3
201510	24465971	424.75398617	12	3712.66	0	SOL	1	30	1	1	3
201510	24466005	370.57455373	12	4575	0	SEP	1	26	0	0	3
201510	24466110	426.16353443	12	3368.25	0	SOL	1	22	3	0	3
201510	24466760	356.34792404	12	3292.52	0	SOL	1	34	0	0	3
201510	24467019	286.6492268	12	4958.74	0	CAS	1	26	0	0	3
201510	24467167	282.39715113	12	4122.51	0	SOL	1	30	0	0	3
201510	24467620	370.19880271	12	3810.12	0	CAS	1	28	0	0	3
201510	24467810	400.44343049	12	4508.57	0	CAS	1	24	1	0	3
201510	24468038	390.77365138	12	3375.15	0	CAS	1	30	5	0	3
201510	24468071		12	3333.59	0	CAS	1	30	3	0	3
201510	24468088	430.05813662	12	3420.76	0	SOL	1	08	2	0	3
