MES,ID,SCORE_SISTEMA,CTDMESPASIVOULT12MES,INGRESO,CLASIFRIESGO_6,ESTADOCIVIL,TIPO,DEPARTAMENTO,NUMEROHIJOS,INCUMPLIMIENTOEN12,DELTA_BANCOS
201510,203,391.2727194,12,3325.3,0,SOL,1,30,0,0,3
201510,204,306.8016262,7,4724.75,0,SOL,1,16,1,0,3
201510,205,304.5531928,12,4729.73,0,SOL,1,30,0,0,3
201510,206,407.129188,12,3823.25,0,CAS,1,14,1,0,3
201510,207,312.4122532,12,4864.99,0,CAS,1,30,0,0,3
201510,208,242.9181093,12,3507.41,0,CAS,1,38,1,0,3
201510,209,401.8959845,12,3742.64,0,CBS,1,30,0,0,3
201510,210,421.1570123,12,3762.09,0,SOL,1,30,-,0,3
201510,211,357.6715773,12,3639.21,0,SOL,1,30,-,0,3
201510,212,315.1191866,12,4174.76,2,SOL,1,30,0,0,3
201510,213,366.3730721,12,4077.58,0,CAS,1,30,1,0,3
201510,214,388.5007477,12,3177.87,0,SOL,1,4,2,0,3
201510,215,451.1940526,12,3507.02,0,CAS,1,30,0,0,3
201510,216,231.4293765,11,3974.02,0,SOL,1,30,0,0,3
201510,217,424.9688603,12,3279.83,0,CAS,1,22,0,0,3
201510,218,373.7975072,12,3373.49,0,CAS,1,6,0,0,3
201510,219,404.6405501,12,3200.01,0,SOL,1,30,0,0,3
201510,220,363.4278888,12,4749.16,0,SOL,1,30,0,1,3
201510,221,348.8779555,5,4950.33,0,SOL,1,28,0,0,3
201510,222,,12,3235.66,0,SOL,1,30,-,0,3
201510,223,335.6439248,12,3800.01,0,SOL,1,8,0,0,3
201510,224,337.7440343,12,4234.77,0,SOL,1,30,0,0,3
201510,225,264.688863,7,3241.69,0,SOL,1,30,-,1,3
201510,226,320.1689957,12,3949.88,0,CAS,1,30,0,0,3
201510,227,,12,3594.28,0,SOL,1,30,3,0,3
201510,228,395.3378531,12,4200,0,SOL,1,30,0,0,3
201510,229,315.1098922,12,4187.41,0,CAS,1,26,-,0,3
201510,230,365.493302,12,4782.72,0,CAS,1,40,2,0,3
201510,231,382.7895036,12,3276.56,0,CAS,1,30,0,0,3
201510,232,408.229672,12,4011.92,0,CAS,1,22,2,0,3
201510,233,434.3788206,12,4079.18,0,SEP,1,30,0,0,3
201510,234,365.7355033,12,3494.12,0,SOL,1,10,0,0,3
201510,235,284.2127626,12,4607.73,0,SOL,1,40,0,1,3
201510,236,321.0030228,12,4411.26,0,SOL,1,8,0,0,3
201510,237,397.6894139,12,3894.1,0,SOL,1,24,0,0,3
201510,238,397.7597987,12,3400.01,0,SOL,1,8,-,0,3
201510,239,364.489805,12,4252.16,0,SOL,1,22,0,0,3
201510,240,447.2512132,12,3003.71,0,SOL,1,16,0,0,3
201510,241,,12,3997.36,0,CAS,1,30,1,0,3
201510,242,459.0740621,12,3550.97,0,SOL,1,38,3,0,3
201510,243,415.3824356,12,4359.63,0,SOL,1,8,0,0,3
201510,244,385.3042247,12,4328.9,0,SOL,1,20,0,0,3
201510,245,329.7114473,12,3863.49,0,SOL,1,30,0,0,3
201510,246,397.9916254,12,3153.22,0,SOL,1,20,0,0,3
201510,247,377.7347278,12,4048.23,0,SOL,1,30,0,0,3
201510,248,309.3931545,12,3502.95,0,SOL,1,16,0,0,3
201510,249,414.9191841,12,3367.68,0,CAS,1,30,3,0,3
201510,250,384.4584132,12,3098.14,0,CAS,1,18,3,0,3
201510,251,380.5488094,12,4181.23,0,CAS,1,30,0,0,3
201510,252,323.2230504,12,3175.86,0,SOL,1,46,0,1,3
201510,253,446.6101487,12,4328,0,CAS,1,8,2,0,3
201510,254,355.1893202,10,3286.36,0,SOL,1,30,0,0,3
